,neg_hu
1494,bajok 
1495,légörvény 
1496,zűrzavar 
1497,elfogadhatatlan 
1498,elfogadhatatlanul 
1499,elszámolatlan 
1500,be nem jelentett 
1501,váratlan 
1502,nem jóváhagyott 
1503,nem vonzó 
1504,jogosulatlan 
1505,elérhetetlenség 
1506,nem érhető el 
1507,nem tud 
1508,megítélhetetlen 
1509,megverték 
1510,nem bízhatatlan 
1511,versenyképtelen 
1512,lelkiismeretlen 
1513,elképzelhetetlenül 
1514,kontrollálhatatlan 
1515,ellenőrizetlenül 
1516,ellenőrizetlen 
1517,kijavítatlan 
1518,felfedezés 
1519,fedetlen 
1520,nem szállítható 
1521,kézbesítetlen 
1522,undercalized 
1523,aláás 
1524,undercuts 
1525,alákínálás 
1526,alábecsül 
1527,alábecsült 
1528,alulbecsüli 
1529,alulbecsülés 
1530,alulbecslés 
1531,alulalapított 
1532,alulbiztosított 
1533,aláásott 
1534,aláásás 
1535,rosszul fizetett 
1536,alulfizetettség 
1537,alulfizetések 
1538,alul 
1539,alulteljesít 
1540,alulteljesítés 
1541,alulteljesített 
1542,alulteljesítő 
1543,alátámasztották 
1544,elégtelen termelés 
1545,alulbeállítás 
1546,elbagatellizál 
1547,alulbecsült 
1548,alulértékelések 
1549,alábecsüli 
1550,alsónemellenes 
1551,alulértékelt 
1552,nem kívánatos 
1553,nem kívánt 
1554,észrevétlen 
1555,meghatározatlan 
1556,nyilvánosságra nem hozott 
1557,iratokkal nem rendelkező 
1558,jogtalan 
1559,jogtalanul 
1560,gazdaságtalan 
1561,munkanélküli 
1562,munkanélküliség 
1563,etikátlan 
1564,etikailag 
1565,kiszámított 
1566,váratlanul 
1567,méltánytalanul 
1568,kedvezőtlenség 
1569,kedvezőtlenül 
1570,felelősséghatatlan 
1571,alkalmatlanság 
1572,előre nem látható 
1573,hajlítható 
1574,sajnálatos módon 
1575,barátságtalan 
1576,nem teljesített 
1577,becsült 
1578,biztosított 
1579,nem szándékos 
1580,igazságtalan 
1581,nem igazolható 
1582,indokolatlanul 
1583,indokolatlan 
1584,igazságtalanul 
1585,tudatlan 
1586,tudatlanul 
1587,törvénytelen 
1588,jogellenesen 
1589,engedélyezett 
1590,eladhatatlan 
1591,nehezebb 
1592,szükségtelenül 
1593,szükségtelen 
1594,beszerezhetetlen 
1595,lakatlan 
1596,kifizetetlen 
1597,teljesítetlen 
1598,nem tervezett 
1599,népszerűtlen 
1600,kiszámíthatatlanság 
1601,kiszámíthatatlan 
1602,kiszámíthatatlanul 
1603,terméketlen 
1604,javíthatatlanság 
1605,nem jövedelmező 
1606,képzetlen 
1607,irreális 
1608,ésszerűtlen 
1609,ésszerűtlenség 
1610,nem jelképtelen 
1611,javíthatatlan 
1612,megnehezítetlen 
1613,leíratlan 
1614,megbízhatatlan 
1615,megnevezett 
1616,nem bejelentett 
1617,megoldatlan 
1618,nyugtalanság 
1619,nem biztonságos 
1620,kiabhatatlan 
1621,nem képes 
1622,kielégítetlen 
1623,eladatlan 
1624,egészségtelen 
1625,szellemileg 
1626,instabil 
1627,megalapozatlan 
1628,sikertelenül 
1629,nem alkalmas 
1630,gyanútátlan 
1631,gyanútlan 
1632,fenntarthatatlan 
1633,tarthatatlan 
1634,korai 
1635,használhatatlan 
1636,nem szívesen látott 
1637,nem hajlandó 
1638,nem hajlandóság 
1639,sürgősség 
1640,sürgős 
1641,fortólevő 
1642,bitorol 
1643,felfordított 
1644,usurping 
1645,usurps 
1646,uzsora 
1647,vandalizmus 
1648,ítélet 
1649,ítéletek 
1650,vetoed 
1651,törvénysértő 
1652,jogsértők 
1653,erőszak 
1654,erőszakosan 
1655,szakadék 
1656,kitti 
1657,megrontás 
1658,illó 
1659,volatilitás 
1660,sebezhetőségek 
1661,sebezhetőség 
1662,sebezhető 
1663,sebezhetően 
1664,figyelmeztet 
1665,figyelem 
1666,figyelmeztetések 
1667,elpazarolt 
1668,pazarló 
1669,pazarlás 
1670,gyenge 
1671,gyengít 
1672,gyengített 
1673,gyengülő 
1674,gyengébb 
1675,leggyengébb 
1676,gyengén 
1677,gyengeség 
1678,gyengeségek 
1679,gondoskodik 
1680,aggodalom 
1681,aggódó 
1682,rosszabb 
1683,rosszabbodik 
1684,rosszabbodás 
1685,robbant 
1686,legrosszabb 
1687,értéktelen 
1688,írd le 
1689,wrottowns 
1690,rossz tettek 
